ID,DH/DM,GOAL,ELEMENT,DECISION,SOURCE,SOURCE TYPE,FREQUENCY,ELEMENT DESCRIPTION,DECISION DESCRIPTION,SOURCE DESCRIPTION,LEVEL
1006A,DM,Drugs,MI,PROTOADHERE,OFF MEUNIT,Program Office or Location,QUARTERLY,Missing Information,Protocol Adherence,Monitoring and Evaluation Unit,Central
1006A,DM,Drugs,MI,PROTOADHERE,OFF MEUNIT,Program Office or Location,QUARTERLY,Missing Information,Protocol Adherence,Monitoring and Evaluation Unit,Central
1006A,DM,Drugs,MI,PROTOADHERE,OFF MEUNIT,Program Office or Location,QUARTERLY,Missing Information,Protocol Adherence,Monitoring and Evaluation Unit,Central
1006A,DM,HTC,MAP,PROGPERFORM,PROGPERFORM,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Program Performance,Central
1006A,DM,HTC,MAP,PROGPERFORM,PROGPERFORM,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Program Performance,Central
1006A,DM,HTC,MAP,PROGPERFORM,PROGPERFORM,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Program Performance,Central
1006A,DM,HTC,MAP,PROGPERFORM,PROGPERFORM,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Program Performance,Central
1006A,DM,HTC,MAP,PROGPERFORM,ANECDOTE,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Anecdotal Information,Central
1006A,DM,HTC,MAP,PROGPERFORM,ANECDOTE,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Anecdotal Information,Central
1006A,DM,HTC,MAP,PROGPERFORM,ANECDOTE,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Anecdotal Information,Central
1006A,DM,HTC,MAP,PROGPERFORM,ANECDOTE,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Anecdotal Information,Central
1006A,DM,HTC,MAP,PROGPERFORM,PARTNER,External Partner,QUARTERLY,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,Central
1006A,DM,HTC,MAP,PROGPERFORM,PARTNER,External Partner,QUARTERLY,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,Central
1006A,DM,HTC,MAP,PROGPERFORM,PARTNER,External Partner,QUARTERLY,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,Central
1006A,DM,HTC,MAP,PROGPERFORM,PARTNER,External Partner,QUARTERLY,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,Central
1006A,DM,HTC,MAP,PROGPERFORM,MAPPING,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Mapping,Central
1006A,DM,HTC,MAP,PROGPERFORM,MAPPING,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Mapping,Central
1006A,DM,HTC,MAP,PROGPERFORM,MAPPING,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Mapping,Central
1006A,DM,HTC,MAP,PROGPERFORM,MAPPING,Other,QUARTERLY,Map Survival Mechanism,Program Performance,Mapping,Central
1006A,DM,HTC,MAP,UPTAKE,PROGPERFORM,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,Central
1006A,DM,HTC,MAP,UPTAKE,PROGPERFORM,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,Central
1006A,DM,HTC,MAP,UPTAKE,PROGPERFORM,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,Central
1006A,DM,HTC,MAP,UPTAKE,PROGPERFORM,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,Central
1006A,DM,HTC,MAP,UPTAKE,ANECDOTE,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,Central
1006A,DM,HTC,MAP,UPTAKE,ANECDOTE,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,Central
1006A,DM,HTC,MAP,UPTAKE,ANECDOTE,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,Central
1006A,DM,HTC,MAP,UPTAKE,ANECDOTE,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,Central
1006A,DM,HTC,MAP,UPTAKE,PARTNER,External Partner,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,HTC,MAP,UPTAKE,PARTNER,External Partner,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,HTC,MAP,UPTAKE,PARTNER,External Partner,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,HTC,MAP,UPTAKE,PARTNER,External Partner,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,HTC,MAP,UPTAKE,MAPPING,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,Central
1006A,DM,HTC,MAP,UPTAKE,MAPPING,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,Central
1006A,DM,HTC,MAP,UPTAKE,MAPPING,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,Central
1006A,DM,HTC,MAP,UPTAKE,MAPPING,Other,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,Central
1006A,DM,Linkage,MI,LINK,BBSS,Other,MI,Missing Information,Link Partners And Programs,BBSS,Central
1006A,DM,Linkage,MI,LINK,SYS DHIS2,Electronic System,MI,Missing Information,Link Partners And Programs,DHIS2,Central
1006A,DM,Linkage,MI,LINK,SURVEY SEN,Research,MI,Missing Information,Link Partners And Programs,Sentinel Survey,Central
1006A,DM,Retention,MI,PROGTARGET,SYS DHIS2,Electronic System,MI,Missing Information,Program Targeting,DHIS2,Central
1006A,DM,Retention,MI,PROGTARGET,PARTNER,External Partner,MI,Missing Information,Program Targeting,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC,UPTAKE,RESEARCH,Research,MI,Reached Through SBC,Increase Uptake/Demand Creation,Research,Central
1006A,DM,VMMC,SBC,UPTAKE,RESEARCH,Research,MI,Reached Through SBC,Increase Uptake/Demand Creation,Research,Central
1006A,DM,VMMC,SBC,UPTAKE,PARTNER,External Partner,MI,Reached Through SBC,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC,UPTAKE,PARTNER,External Partner,MI,Reached Through SBC,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC YIELD,UPTAKE,RESEARCH,Research,MI,SBC Yield,Increase Uptake/Demand Creation,Research,Central
1006A,DM,VMMC,SBC YIELD,UPTAKE,RESEARCH,Research,MI,SBC Yield,Increase Uptake/Demand Creation,Research,Central
1006A,DM,VMMC,SBC YIELD,UPTAKE,PARTNER,External Partner,MI,SBC Yield,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC YIELD,UPTAKE,PARTNER,External Partner,MI,SBC Yield,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC APPROACH,UPTAKE,RESEARCH,Research,MI,SBC Approach,Increase Uptake/Demand Creation,Research,Central
1006A,DM,VMMC,SBC APPROACH,UPTAKE,RESEARCH,Research,MI,SBC Approach,Increase Uptake/Demand Creation,Research,Central
1006A,DM,VMMC,SBC APPROACH,UPTAKE,PARTNER,External Partner,MI,SBC Approach,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC APPROACH,UPTAKE,PARTNER,External Partner,MI,SBC Approach,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC,PRIORITIZE,RESEARCH,Research,MI,Reached Through SBC,Prioritization,Research,Central
1006A,DM,VMMC,SBC,PRIORITIZE,RESEARCH,Research,MI,Reached Through SBC,Prioritization,Research,Central
1006A,DM,VMMC,SBC,PRIORITIZE,PARTNER,External Partner,MI,Reached Through SBC,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC,PRIORITIZE,PARTNER,External Partner,MI,Reached Through SBC,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC YIELD,PRIORITIZE,RESEARCH,Research,MI,SBC Yield,Prioritization,Research,Central
1006A,DM,VMMC,SBC YIELD,PRIORITIZE,RESEARCH,Research,MI,SBC Yield,Prioritization,Research,Central
1006A,DM,VMMC,SBC YIELD,PRIORITIZE,PARTNER,External Partner,MI,SBC Yield,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC YIELD,PRIORITIZE,PARTNER,External Partner,MI,SBC Yield,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC APPROACH,PRIORITIZE,RESEARCH,Research,MI,SBC Approach,Prioritization,Research,Central
1006A,DM,VMMC,SBC APPROACH,PRIORITIZE,RESEARCH,Research,MI,SBC Approach,Prioritization,Research,Central
1006A,DM,VMMC,SBC APPROACH,PRIORITIZE,PARTNER,External Partner,MI,SBC Approach,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,VMMC,SBC APPROACH,PRIORITIZE,PARTNER,External Partner,MI,SBC Approach,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,PMTCT,MI,UPTAKE,RPT LAHAF,Report,MI,Missing Information,Increase Uptake/Demand Creation,LAHARF Report,Central
1006A,DM,PMTCT,MI,UPTAKE,SYS HMIS,Electronic System,MI,Missing Information,Increase Uptake/Demand Creation,HMIS,Central
1006A,DM,PMTCT,MI,UPTAKE,SYS DHIS2,Electronic System,MI,Missing Information,Increase Uptake/Demand Creation,DHIS2,Central
1006A,DM,Resource targeting,MI,MAP,RPT LAHAF,Report,MI,Missing Information,Map Survival Mechanism,LAHARF Report,Central
1006A,DM,Resource targeting,MI,MAP,SYS HMIS,Electronic System,MI,Missing Information,Map Survival Mechanism,HMIS,Central
1006A,DM,Resource targeting,MI,MAP,SYS DHIS2,Electronic System,MI,Missing Information,Map Survival Mechanism,DHIS2,Central
1006A,DM,Resource targeting,MI,COORDINATE,SYS HMIS,Electronic System,MI,Missing Information,Partner/Stakeholder Coordination,HMIS,Central
1006A,DM,Resource targeting,MI,COORDINATE,SYS DHIS2,Electronic System,MI,Missing Information,Partner/Stakeholder Coordination,DHIS2,Central
1006A,DM,Resource targeting,MI,COORDINATE,RPT SUPER,Report,MI,Missing Information,Partner/Stakeholder Coordination,Supervision Report,Central
1006A,DM,Performance management,MI,STAFFING,TWG,Meeting or group,MI,Missing Information,Staffing/Workload,Technical Working Group,Central
1006A,DM,Performance management,MI,STAFFING,MEETING,Meeting or group,MI,Missing Information,Staffing/Workload,Meeting,Central
1006A,DM,Performance management,MI,SUPERVISION,TWG,Meeting or group,MI,Missing Information,Supervision,Technical Working Group,Central
1006A,DM,Performance management,MI,SUPERVISION,MEETING,Meeting or group,MI,Missing Information,Supervision,Meeting,Central
1006A,DM,Performance management,MI,FEEDBACK,TWG,Meeting or group,MI,Missing Information,Provide Feedback,Technical Working Group,Central
1006A,DM,Performance management,MI,FEEDBACK,MEETING,Meeting or group,MI,Missing Information,Provide Feedback,Meeting,Central
1006A,DM,Program Efficiency,MI,PRIORITIZE,MI,NA,MI,Missing Information,Prioritization,Missing Information,Central
1007A,DM,Drugs,TREAT,RESMOB,SUPVISIT,Management Tool,QUARTERLY,Patients Treated,Resource Mobilization,Data Is Accessed During Supervision Visits,Central
1007A,DM,Drugs,TREAT,RESMOB,PER FACINCHGE,Person,QUARTERLY,Patients Treated,Resource Mobilization,Facility in Chart,Central
1007A,DM,Drugs,TREAT,RESMOB,FAC,Program Office or Location,QUARTERLY,Patients Treated,Resource Mobilization,Facility,Central
1007A,DM,Drugs,DRUG SUPPLY,RESMOB,SUPVISIT,Management Tool,QUARTERLY,Drug Supply,Resource Mobilization,Data Is Accessed During Supervision Visits,Central
1007A,DM,Drugs,DRUG SUPPLY,RESMOB,PER FACINCHGE,Person,QUARTERLY,Drug Supply,Resource Mobilization,Facility in Chart,Central
1007A,DM,Drugs,DRUG SUPPLY,RESMOB,FAC,Program Office or Location,QUARTERLY,Drug Supply,Resource Mobilization,Facility,Central
1007A,DM,Drugs,DRUG CONSUMP,RESMOB,SUPVISIT,Management Tool,QUARTERLY,Drug Consumption,Resource Mobilization,Data Is Accessed During Supervision Visits,Central
1007A,DM,Drugs,DRUG CONSUMP,RESMOB,PER FACINCHGE,Person,QUARTERLY,Drug Consumption,Resource Mobilization,Facility in Chart,Central
1007A,DM,Drugs,DRUG CONSUMP,RESMOB,FAC,Program Office or Location,QUARTERLY,Drug Consumption,Resource Mobilization,Facility,Central
1007A,DM,Drugs,NEWCASE,RESMOB,SUPVISIT,Management Tool,QUARTERLY,New Cases,Resource Mobilization,Data Is Accessed During Supervision Visits,Central
1007A,DM,Drugs,NEWCASE,RESMOB,PER FACINCHGE,Person,QUARTERLY,New Cases,Resource Mobilization,Facility in Chart,Central
1007A,DM,Drugs,NEWCASE,RESMOB,FAC,Program Office or Location,QUARTERLY,New Cases,Resource Mobilization,Facility,Central
1007A,DM,HTC,TEST HIV,DRUG SUPPLY,FAC,Program Office or Location,QUARTERLY,Test HIV,Drug Supply,Facility,Central
1007A,DM,HTC,TEST HIV,DRUG SUPPLY,SYS DATABASE,Electronic System,QUARTERLY,Test HIV,Drug Supply,Database,Central
1007A,DM,HTC,TEST HIV,DRUG SUPPLY,SUPPLYLIST,,QUARTERLY,Test HIV,Drug Supply,Supply List,Central
1007A,DM,Linkage,TEST HIV,TREATINIT,MI,NA,MI,Test HIV,Treatment Initiation,Missing Information,Central
1007A,DM,Resource targeting,MI,DRUG SUPPLY,MI,NA,MI,Missing Information,Drug Supply,Missing Information,Central
1007A,DM,Performance management,DRUG SUPPLY,DRUG SUPPLY,MI,NA,MI,Drug Supply,Drug Supply,Missing Information,Central
1007A,DM,Performance management,DRUG STOCKOUT,DRUG SUPPLY,MI,NA,MI,Drug Stock Out,Drug Supply,Missing Information,Central
1007A,DM,Performance management,DRUG EXPIRY,DRUG SUPPLY,MI,NA,MI,Drug Expiry,Drug Supply,Missing Information,Central
1007A,DM,Performance management,TEST HIV,DRUG SUPPLY,MI,NA,MI,Test HIV,Drug Supply,Missing Information,Central
1007A,DM,Program Efficiency,MI,PROBLEMSOLVE,MI,NA,MI,Missing Information,Problem Solve,Missing Information,Central
1008A,DM,Drugs,DRUG SUPPLY,DRUG SUPPLY,RPT LMIS,Report,MONTH Q,Drug Supply,Drug Supply,LMIS Report,Central
1008A,DM,HTC,DRUG STOCKOUT,DRUG SUPPLY,PER SUPPLY,Person,MONTHLY,Drug Stock Out,Drug Supply,Supply Chain Manager,Central
1008A,DM,HTC,DRUG SUPPLY,DRUG SUPPLY,PER SUPPLY,Person,MONTHLY,Drug Supply,Drug Supply,Supply Chain Manager,Central
1009A,DM,Drugs,DRUG SUPPLY,DRUG SUPPLY,SUPVISIT,Management Tool,QUARTERLY,Drug Supply,Drug Supply,Data Is Accessed During Supervision Visits,Central
1009A,DM,HTC,MI,MANAGE,SYS DHIS2,Electronic System,MI,Missing Information,Manage Staff And Facilities,DHIS2,Central
1009A,DM,Linkage,MI,LINK,MI,NA,MI,Missing Information,Link Partners And Programs,Missing Information,Central
1009A,DM,Linkage,MI,TREATINIT,MI,NA,MI,Missing Information,Treatment Initiation,Missing Information,Central
1009A,DM,Retention,MI,GAP,REVIEW DIP,Meeting or group,MI,Missing Information,Identify Gap,DIP Review,Central
1009A,DM,Retention,MI,GAP,REVIEW ZONE,Meeting or group,MI,Missing Information,Identify Gap,Zonal Review,Central
1009A,DM,VMMC,MI,MI,SYS DHIS2,Electronic System,MI,Missing Information,Missing Information,DHIS2,Central
1009A,DM,VMMC,MI,MI,SYS DHIS2,Electronic System,MI,Missing Information,Missing Information,DHIS2,Central
1009A,DM,Resource targeting,MI,DRUG SUPPLY,MI,NA,MI,Missing Information,Drug Supply,Missing Information,Central
1009A,DM,Performance management,MI,GAP,SUPVISIT,Management Tool,QUARTERLY,Missing Information,Identify Gap,Data Is Accessed During Supervision Visits,Central
1009A,DM,Performance management,MI,GAP,REVIEW DIP,Meeting or group,QUARTERLY,Missing Information,Identify Gap,DIP Review,Central
1009A,DM,Performance management,MI,PROGPERFORM,SUPVISIT,Management Tool,QUARTERLY,Missing Information,Program Performance,Data Is Accessed During Supervision Visits,Central
1009A,DM,Performance management,MI,PROGPERFORM,REVIEW DIP,Meeting or group,QUARTERLY,Missing Information,Program Performance,DIP Review,Central
2102A,DM,Drugs,MEETING HTC,UPTAKE,PARTNER CBO,External Partner,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,Drugs,MEETING HTC,UPTAKE,PARTNER CBO,External Partner,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,Drugs,MEETING HTC,UPTAKE,FORM,Report,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,Form,District
2102A,DM,Drugs,MEETING HTC,UPTAKE,FORM,Report,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,Form,District
2102A,DM,Drugs,MEETING HTC,UPTAKE,RPT LAHAF,Report,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,Drugs,MEETING HTC,UPTAKE,RPT LAHAF,Report,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,PARTNER CBO,External Partner,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,PARTNER CBO,External Partner,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,FORM,Report,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,Form,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,FORM,Report,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,Form,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,RPT LAHAF,Report,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,RPT LAHAF,Report,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,PARTNER CBO,External Partner,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,PARTNER CBO,External Partner,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,FORM,Report,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,Form,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,FORM,Report,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,Form,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,RPT LAHAF,Report,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,Drugs,MEETING ARV,UPTAKE,RPT LAHAF,Report,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,HTC,PREVALENCE,LINK,RPT SECTOR,Report,QUARTERLY,Prevalence Rate HIV,Link Partners And Programs,Sector Report,District
2102A,DM,HTC,PREVALENCE,LINK,PARTNER NGO,External Partner,QUARTERLY,Prevalence Rate HIV,Link Partners And Programs,Non-governmental Organization,District
2102A,DM,HTC,PREVALENCE,LINK,RPT SECTOR,Report,QUARTERLY,HIV prevalence rate among female sex workers,Link Partners And Programs,Sector Report,District
2102A,DM,HTC,PREVALENCE,LINK,PARTNER NGO,External Partner,QUARTERLY,HIV prevalence rate among female sex workers,Link Partners And Programs,Non-governmental Organization,District
2102A,DM,HTC,PREVALENCE,PROGTARGET,RPT SECTOR,Report,QUARTERLY,Prevalence Rate HIV,Program Targeting,Sector Report,District
2102A,DM,HTC,PREVALENCE,PROGTARGET,PARTNER NGO,External Partner,QUARTERLY,Prevalence Rate HIV,Program Targeting,Non-governmental Organization,District
2102A,DM,HTC,PREVALENCE,PROGTARGET,RPT SECTOR,Report,QUARTERLY,HIV prevalence rate among female sex workers,Program Targeting,Sector Report,District
2102A,DM,HTC,PREVALENCE,PROGTARGET,PARTNER NGO,External Partner,QUARTERLY,HIV prevalence rate among female sex workers,Program Targeting,Non-governmental Organization,District
2102A,DM,Linkage,MEETING AWARE,UPTAKE,RPT,Report,MONTHLY,Awareness Meetings Conducted,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,IEC,UPTAKE,RPT,Report,MONTHLY,IEC Materials Distributed,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,CONDOM,UPTAKE,RPT,Report,MONTHLY,Condoms Distributed,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,WORKPLACE,UPTAKE,RPT,Report,MONTHLY,Workplace Interventions Conducted,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,EXPENDITURE,UPTAKE,RPT,Report,MONTHLY,Funds Used,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,ATTENDYOUTH,UPTAKE,RPT,Report,MONTHLY,Youth Attending Youth Friendly Service In Health Facility,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,REFER,UPTAKE,RPT,Report,MONTHLY,Referral,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,TEST HIV,UPTAKE,RPT,Report,MONTHLY,Test HIV,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,TEST HIVPOS,UPTAKE,RPT,Report,MONTHLY,Test HIV Positive,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,TEST HIVNEG,UPTAKE,RPT,Report,MONTHLY,Test HIV Negative,Increase Uptake/Demand Creation,Report,District
2102A,DM,Linkage,HBC VISIT,HBC,FORM,Report,MONTHLY,Home Based Care Visit,Home Based Care,Form,District
2102A,DM,Linkage,HBC VISIT,HBC,FORM,Report,MONTHLY,Home Based Care Visit,Home Based Care,Form,District
