Element Code,System,Table,Element,System Type,Level,HIV,Program Area,Goals,Overlap HIV,Goal1,Goal2,Goal3
222A,DHA-MIS,DHA,ANC booking cohort  - 3rd month,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
223A,DHA-MIS,DHA,ANC booking cohort - 1st month,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
224A,DHA-MIS,DHA,ANC booking cohort - 2nd month,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
225A,DHA-MIS,DHA,ANC clinic register,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
226A,DHA-MIS,DHA,ANC cohort analysis,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
227A,DHA-MIS,DHA,ANC cohort reports for all 3 months,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
228A,DHA-MIS,DHA,ANC new registration - 1st month,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
229A,DHA-MIS,DHA,ANC new registration - 2nd month,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
230A,DHA-MIS,DHA,ANC new registration - 3rd month,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
231A,DHA-MIS,DHA,ANC new registration report ver1,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
232A,DHA-MIS,DHA,ANC Program,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
233A,DHA-MIS,DHA,ANC register correctly filled,Electronic,Central,Y,PMTCT,6,N,PMTCT,-,-
234A,DHA-MIS,DHA,ANC report check sums,Electronic,Central,Y,PMTCT,6,N,PMTCT,-,-
235A,DHA-MIS,DHA,ANC report ver4,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
236A,DHA-MIS,DHA,ANC services report,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
237A,DHA-MIS,DHA,ANC women after 6 months,Electronic,Central,Y,PMTCT,6,Y,PMTCT,-,-
238A,DHA-MIS,DHA,ANCNewRegArteli,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
239A,DHA-MIS,DHA,ANCNewRegHiv,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
240A,DHA-MIS,DHA,ANCNewRegTrim,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
241A,DHA-MIS,DHA,ANCOutcArteli,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
242A,DHA-MIS,DHA,ANCOutcCpt,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
243A,DHA-MIS,DHA,ANCOutcEcl,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
244A,DHA-MIS,DHA,ANCOutcFefo,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
245A,DHA-MIS,DHA,ANCOutcHiv,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
246A,DHA-MIS,DHA,ANCOutcPtBaby,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
247A,DHA-MIS,DHA,ANCOutcPtMoth,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
248A,DHA-MIS,DHA,ANCOutcSp,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
249A,DHA-MIS,DHA,ANCOutcSyp,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
250A,DHA-MIS,DHA,ANCOutcTrim,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
251A,DHA-MIS,DHA,ANCOutcTtv,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
252A,DHA-MIS,DHA,ANCOutcVis,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
253A,DHA-MIS,DHA,Antenatal Care,Electronic,Central,Y,PMTCT,6,Q,PMTCT,-,-
254A,DHA-MIS,DHA,Anti-malarials,Electronic,Central,Y,MALARIA,-,N,-,-,-
255A,DHA-MIS,DHA,Antiseptic / decontamination solution available,Electronic,Central,Y,OTHER,7,-,Resource targeting ,-,-
256A,DHA-MIS,DHA,Antiseptic solution made up according to SOP,Electronic,Central,Y,OTHER,7,-,Resource targeting ,-,-
257A,DHA-MIS,DHA,Any AE,Electronic,Central,Y,Q,Q,Q,-,-,-
258A,DHA-MIS,DHA,Any ANC women not tested last month,Electronic,Central,Y,PMTCT,26,Q,HTC ,PMTCT,-
259A,DHA-MIS,DHA,Any ARVs,Electronic,Central,Y,ART,4,Q,Retention,-,-
260A,DHA-MIS,DHA,Army,Electronic,Central,N,SYSATTR,NA,Y,-,-,-
261A,DHA-MIS,DHA,ART,Electronic,Central,N,SYSATTR,NA,Y,-,-,-
262A,DHA-MIS,DHA,ART - Cumul cohort report (reg details) complete,Electronic,Central,Y,ART,48,N,Retention,Performance management ,-
263A,DHA-MIS,DHA,ART - Occupation recorded,Electronic,Central,Y,ART,48,N,Retention,Performance management ,-
264A,DHA-MIS,DHA,"ART - Outcomes complete, updated, dates specified",Electronic,Central,Y,ART,48,N,Retention,Performance management ,-
265A,DHA-MIS,DHA,ART - PMTCT recorded,Electronic,Central,Y,ART,48,N,Retention,Performance management ,-
